car_name,car_price_in_rupees,,kms_driven,fuel_type,city,year_of_manufacture
Maruti Suzuki Swift VDi,₹ 7.75 ,,"69,000 km",Diesel,Hyderabad,2019
Tata Nexon XZ Plus,₹ 11.52 ,,"10,422 km",Petrol,Delhi,2021
Audi Q3 35 TDI Premium + Sunroof,₹ 16.75 ,,"52,000 km",Diesel,Mumbai,2014
Maruti Suzuki Ciaz Alpha Hybrid 1.5 AT [2018-2020],₹ 8.5 ,,"56,255 km",Petrol,Ahmedabad,2019
Hyundai Santro Sportz CNG [2018-2020],₹ 5.93 ,,"78,260 km",CNG,Delhi,2021
Maruti Suzuki Alto 800 LXi (O) CNG,₹ 4.15 ,,"19,970 km",CNG,Bangalore,2021
MG Hector Plus Sharp 1.5 DCT Petrol,₹ 18.5 ,,"9,070 km",Petrol,Ahmedabad,2020
Ford Figo Duratec Petrol ZXI 1.2,₹ 2.4 ,,"73,000 km",Petrol,Thane,2013
Audi Q3 2.0 TDI Base Grade,₹ 11.99 ,,"46,336 km",Diesel,Kolkata,2015
Hyundai Creta SX Plus 1.6  Petrol,₹ 8.95 ,,"57,220 km",Petrol,Thane,2016
Honda Jazz ZX,₹ 9.68 ,,"7,096 km",Petrol,Pune,2021
Mercedes-Benz EQC 400 4MATIC,₹ 81 ,,"21,500 km",Electric,Bangalore,2020
Hyundai Grand i10 Asta 1.2 Kappa VTVT [2013-2016],₹ 4.93 ,,"44,045 km",Petrol,Pune,2015
BMW X1 sDrive20d,₹ 10.5 ,,"70,000 km",Diesel,Kolkata,2013
Maruti Suzuki Swift ZDi Plus,₹ 7.85 ,,"32,853 km",Diesel,Thane,2018
BMW 5 Series 520d Luxury Line [2017-2019],₹ 38.99 ,,"26,781 km",Diesel,Kolkata,2017
Skoda Superb L&K TSI AT,₹ 31 ,,"45,700 km",Petrol,Ahmedabad,2021
Maruti Suzuki Swift DZire VXI,₹ 4.85 ,,"62,000 km",Petrol,Thane,2014
Maruti Suzuki Wagon R 1.0 LXI CNG,₹ 4.35 ,,"73,500 km",CNG,Thane,2017
Maruti Suzuki Wagon R 1.0 LXI CNG,₹ 4.51 ,,"74,076 km",CNG,Pune,2017
Tata Tiago Revotron XZA,₹ 5.45 ,,"56,355 km",Petrol,Mumbai,2018
Tata Tiago Revotron XT [2016-2019],₹ 4.5 ,,"37,000 km",Petrol,Thane,2017
Maruti Suzuki Wagon R LXi 1.0 CNG,₹ 6.81 ,,"22,158 km",CNG,Pune,2021
Hyundai Xcent S 1.2,₹ 3.95 ,,"62,568 km",Petrol,Noida,2014
Kia Seltos HTK 1.5 [2020-2021],₹ 11.43 ,,"19,970 km",Petrol,Pune,2019
BMW 5 Series 520d Luxury Line,₹ 23 ,,"73,900 km",Diesel,Ahmedabad,2015
Kia Seltos HTE 1.5,₹ 10.5 ,,"37,991 km",Petrol,Thane,2020
Hyundai Creta 1.6 SX Plus AT Petrol,₹ 12.75 ,,"58,676 km",Petrol,Mumbai,2018
Hyundai Grand i10 Sportz (O) 1.2 Kappa VTVT [2017-2018],₹ 5.99 ,,"35,104 km",Petrol,Bangalore,2017
Kia Seltos GTX 1.4 Dual Tone,₹ 16.2 ,,"51,605 km",Petrol,Pune,2019
Maruti Suzuki S-Presso VXi,₹ 4.2 ,,"17,472 km",Petrol,Delhi,2020
Hyundai Elite i20 Sportz 1.4,₹ 4.75 ,,"80,000 km",Diesel,Delhi,2015
Mercedes-Benz GLC 200 Progressive,₹ 66 ,,"16,785 km",Petrol,Bangalore,2021
Mercedes-Benz E-Class E 200,₹ 68.99 ,,"3,999 km",Petrol,Bangalore,2020
Maruti Suzuki Wagon R 1.0 LXI CNG,₹ 4.41 ,,"66,882 km",CNG,Pune,2017
Audi A4 35 TDI Technology,₹ 29.5 ,,"71,235 km",Diesel,Ahmedabad,2018
Chevrolet Cruze LTZ AT,₹ 5.9 ,,"56,000 km",Diesel,Ahmedabad,2013
Hyundai Grand i10 Magna 1.2 Kappa VTVT [2017-2020],₹ 4.14 ,,"74,938 km",Petrol,Delhi,2016
Honda City 1.5 S MT,₹ 2.85 ,,"82,000 km",Petrol,Noida,2009
Maruti Suzuki Wagon R LXi 1.0 CNG,₹ 6.75 ,,"57,685 km",CNG,Pune,2021
Hyundai Elite i20 Sportz 1.2,₹ 7.1 ,,"48,000 km",Petrol,Hyderabad,2018
Mercedes-Benz C-Class 220 BlueEfficiency,₹ 13.95 ,,"1,20,000 km",Diesel,Hyderabad,2013
Hyundai Eon Magna [2011-2012],₹ 3.2 ,,"33,146 km",Petrol,Ahmedabad,2015
Maruti Suzuki Baleno Delta 1.2,₹ 6.29 ,,"26,603 km",Petrol,Delhi,2019
Volkswagen Vento Comfortline 1.2 (P) AT,₹ 6.51 ,,"53,094 km",Petrol,Mumbai,2016
Hyundai Grand i10 Magna 1.2 Kappa VTVT [2017-2020],₹ 4.75 ,,"4,098 km",Petrol,Mumbai,2017
Maruti Suzuki Wagon R 1.0 VXi,₹ 2.89 ,,"75,379 km",Petrol,Pune,2011
Hyundai Venue S 1.0 Petrol [2019-2020],₹ 8.97 ,,"15,763 km",Petrol,Kolkata,2019
Mercedes-Benz C-Class 200 K AT,₹ 8.5 ,,"1,19,500 km",Petrol,Ahmedabad,2010
Maruti Suzuki Wagon R 1.0 VXi,₹ 2.76 ,,"42,697 km",Petrol,Kolkata,2013
Hyundai Elite i20 Magna Executive 1.2,₹ 6.9 ,,"45,000 km",Petrol,Ahmedabad,2018
Maruti Suzuki Vitara Brezza ZDi Plus,₹ 10.44 ,,"55,174 km",Diesel,Pune,2019
Honda City VX CVT,₹ 7.35 ,,"82,953 km",Petrol,Chennai,2016
Maruti Suzuki Wagon R 1.0 VXI AMT,₹ 3.9 ,,"85,138 km",Petrol,Pune,2016
Audi Q5 3.0 TDI quattro Premium Plus,₹ 25 ,,"57,000 km",Diesel,Hyderabad,2015
Audi A6 2.0 TDI Premium,₹ 11.25 ,,"52,000 km",Diesel,Kolkata,2013
Hyundai Creta SX Plus 1.6  Petrol,₹ 9.79 ,,"27,623 km",Petrol,Bangalore,2016
Hyundai Xcent SX 1.2 (O),₹ 4.99 ,,"73,333 km",Petrol,Bangalore,2015
MG Hector Sharp 2.0 Diesel [2019-2020],₹ 16.59 ,,"45,999 km",Diesel,Bangalore,2019
Maruti Suzuki Baleno Sigma 1.2,₹ 5.45 ,,"61,518 km",Petrol,Noida,2017
Maruti Suzuki S-Presso VXi Plus,₹ 4.76 ,,65 km,Petrol,Delhi,2021
Maruti Suzuki Baleno Zeta 1.3,₹ 7.39 ,,"42,400 km",Diesel,Bangalore,2017
Jeep Compass Limited 1.4 Petrol AT [2017-2020],₹ 13.95 ,,"45,221 km",Petrol,Mumbai,2017
Maruti Suzuki Ignis Zeta 1.2 MT,₹ 6.28 ,,"11,290 km",Petrol,Pune,2020
Hyundai Grand i10 Sports Edition 1.2L Kappa VTVT,₹ 4.09 ,,"68,446 km",Petrol,Delhi,2016
Honda City V,₹ 5.9 ,,"51,850 km",Petrol,Mumbai,2015
Toyota Glanza G CVT,₹ 7.95 ,,"10,000 km",Petrol,Mumbai,2020
Audi Q3 2.0 TDI quattro Premium,₹ 11.9 ,,"69,500 km",Diesel,Ahmedabad,2012
Maruti Suzuki Swift DZire ZXI,₹ 4.45 ,,"44,681 km",Petrol,Hyderabad,2012
Renault Kwid RXT [2015-2019],₹ 2.99 ,,"65,428 km",Petrol,Pune,2016
Hyundai Verna Fluidic 1.6 VTVT SX,₹ 3.91 ,,"84,344 km",Petrol,Delhi,2013
Maruti Suzuki Vitara Brezza ZDi Plus AGS,₹ 8.9 ,,"1,13,600 km",Diesel,Thane,2018
Maruti Suzuki Wagon R LXi 1.0 CNG,₹ 5.99 ,,"17,778 km",CNG,Delhi,2020
Maruti Suzuki Baleno Delta 1.2,₹ 5.8 ,,"33,269 km",Petrol,Kolkata,2018
MG Hector Sharp 1.5 DCT Petrol [2019-2020],₹ 19.25 ,,"15,222 km",Petrol,Bangalore,2021
Honda City V Diesel,₹ 9.25 ,,"87,139 km",Diesel,Hyderabad,2017
Maruti Suzuki Swift VXi ABS,₹ 3.4 ,,"69,551 km",Petrol,Delhi,2013
Hyundai Verna Fluidic 1.6 CRDi SX,₹ 4.85 ,,"72,500 km",Diesel,Thane,2013
Maruti Suzuki Swift ZXi,₹ 6.33 ,,"28,899 km",Petrol,Delhi,2018
Maruti Suzuki Wagon R 1.0 VXI,₹ 3.96 ,,"13,595 km",Petrol,Kolkata,2017
Ford Endeavour Titanium 3.2 4x4 AT,₹ 24.75 ,,"83,000 km",Diesel,Mumbai,2016
Hyundai Elite i20 Magna Executive 1.2,₹ 7.75 ,,"19,418 km",Petrol,Bangalore,2019
Volvo V40 D3 Kinetic,₹ 12 ,,"50,965 km",Diesel,Kolkata,2015
Ford EcoSport Ambiente 1.5L TDCi,₹ 4.91 ,,"74,000 km",Diesel,Thane,2014
Hyundai Xcent SX CRDi,₹ 4.25 ,,"21,707 km",Diesel,Kolkata,2017
Mahindra XUV500 W8,₹ 7.4 ,,"83,555 km",Diesel,Hyderabad,2013
Hyundai Verna 1.6 VTVT SX,₹ 5.85 ,,"37,000 km",Petrol,Mumbai,2015
Hyundai Grand i10 Magna 1.2 Kappa VTVT [2013-2016],₹ 3.85 ,,"43,000 km",Petrol,Noida,2014
Maruti Suzuki Baleno Zeta 1.2 AT,₹ 6.9 ,,"21,769 km",Petrol,Mumbai,2017
BMW 5 Series 530i Sport Line,₹ 42.5 ,,"32,000 km",Petrol,Mumbai,2018
Maruti Suzuki Ciaz Zeta Hybrid  1.5 [2018-2020],₹ 7.99 ,,"14,886 km",Petrol,Mumbai,2018
MG Hector Plus Sharp 1.5 DCT Petrol,₹ 18.9 ,,"6,602 km",Petrol,Ahmedabad,2020
Maruti Suzuki Wagon R 1.0 LXI CNG,₹ 3.85 ,,"58,000 km",CNG,Thane,2014
Maruti Suzuki Wagon R 1.0 LXI CNG,₹ 4.07 ,,"63,339 km",CNG,Pune,2014
Maruti Suzuki Ciaz Delta 1.5,₹ 8.3 ,,"4,500 km",Petrol,Faridabad,2020
Renault Triber RXZ EASY-R AMT,₹ 7.6 ,,"23,600 km",Petrol,Chennai,2020
Hyundai Venue S 1.0 Petrol [2019-2020],₹ 9.55 ,,"17,844 km",Petrol,Kolkata,2019
Honda City SV,₹ 8.75 ,,"21,000 km",Petrol,Ahmedabad,2019
Tata Indica LS,₹ 2.5 ,,"60,000 km",Diesel,Thiruvallur,2017
Maruti Suzuki Celerio VXi AMT,₹ 4.5 ,,"34,530 km",Petrol,Thane,2016
Honda CR-V 2.4 AT,₹ 14 ,,"1,17,192 km",Petrol,Hyderabad,2014
Honda Jazz VX Diesel,₹ 5.95 ,,"54,000 km",Diesel,Thane,2016
Nissan Terrano XL (P),₹ 6.79 ,,"38,999 km",Petrol,Bangalore,2016
Volkswagen Ameo Highline Plus 1.5L AT (D)16 Alloy,₹ 6.6 ,,"58,549 km",Diesel,Chennai,2017
Hyundai Elite i20 Sportz 1.2 [2016-2017],₹ 6.87 ,,"41,055 km",Petrol,Delhi,2019
Renault Kwid 1.0 RXT [2016-2019],₹ 3.04 ,,"53,728 km",Petrol,Delhi,2018
Hyundai Grand i10 Sportz (O) 1.2 Kappa VTVT [2017-2018],₹ 5.29 ,,"42,141 km",Petrol,Bangalore,2017
Tata Tiago JTP 1.2 [2018-2019],₹ 4.16 ,,"63,130 km",Petrol,Delhi,2018
Maruti Suzuki Alto K10 VXi [2014-2019],₹ 3.01 ,,"53,912 km",Petrol,Chennai,2016
Tata Nexon XMA Diesel,₹ 9.41 ,,"20,678 km",Diesel,Thane,2019
Tata Safari XTA Plus,₹ 23.75 ,,"4,259 km",Diesel,Bangalore,2022
Honda Jazz E MT [2015-2016],₹ 4.9 ,,"48,866 km",Petrol,Ahmedabad,2016
Renault Kwid RXT [2015-2019],₹ 3.31 ,,"32,954 km",Petrol,Delhi,2018
Maruti Suzuki Wagon R 1.0 VXi,₹ 2.35 ,,"37,000 km",Petrol,Mumbai,2012
Mahindra XUV500 W11 AT,₹ 13.9 ,,"85,000 km",Diesel,Ahmedabad,2018
Audi A3 35 TDI Premium + Sunroof,₹ 24.75 ,,"36,627 km",Diesel,Bangalore,2016
Volkswagen Polo GT TSI,₹ 9.25 ,,"62,690 km",Petrol,Bangalore,2018
Toyota Innova Crysta GX 2.4 7 STR,₹ 21.5 ,,"12,039 km",Diesel,Ahmedabad,2020
Honda City VX CVT Petrol,₹ 12.04 ,,"26,230 km",Petrol,Delhi,2020
Hyundai Santro Sportz AMT,₹ 5.57 ,,"19,156 km",Petrol,Pune,2020
Hyundai Grand i10 Nios Sportz 1.2 Kappa VTVT,₹ 5.79 ,,"18,350 km",Petrol,Kolkata,2020
Hyundai Elite i20 Magna Executive 1.2,₹ 5.54 ,,"44,053 km",Petrol,Pune,2018
Hyundai i10 1.1L iRDE Magna Special Edition,₹ 3.4 ,,"69,000 km",Petrol,Ahmedabad,2014
Kia Seltos GTX 1.4 Dual Tone,₹ 16.2 ,,"51,605 km",Petrol,Pune,2019
BMW 5 Series 520d Sedan,₹ 43 ,,"40,000 km",Diesel,Ahmedabad,2017
Tata Harrier XZ Plus Dual Tone,₹ 18.95 ,,"35,438 km",Diesel,Thane,2020
BMW 7 Series 750Li Sedan,₹ 10 ,,"65,000 km",Petrol,Ahmedabad,2008
Maruti Suzuki Ciaz Alpha 1.4 AT,₹ 8.85 ,,"38,500 km",Petrol,Ahmedabad,2020
Maruti Suzuki Wagon R 1.0 LXI CNG,₹ 4.84 ,,"20,583 km",CNG,Pune,2018
Skoda Rapid Style 1.5 TDI AT,₹ 7.15 ,,"81,325 km",Diesel,Kolkata,2016
Maruti Suzuki Baleno Zeta 1.2,₹ 5.9 ,,"35,000 km",Petrol,Ahmedabad,2017
Maruti Suzuki Celerio VXi AMT ABS,₹ 4.85 ,,"25,000 km",Petrol,Hyderabad,2015
Honda Jazz V Petrol,₹ 4.62 ,,"37,993 km",Petrol,Delhi,2015
Land Rover Discovery Sport HSE 7-Seater,₹ 34.99 ,,"21,693 km",Diesel,Kolkata,2018
Hyundai Creta SX 1.6 (O) Petrol,₹ 10.25 ,,"63,194 km",Petrol,Thane,2018
Hyundai i10 1.2 L Kappa Magna Special Edition,₹ 1.8 ,,"60,000 km",Petrol,Thane,2009
Honda City VX CVT Petrol [2017-2019],₹ 12 ,,"70,000 km",Petrol + 1,Ambattur,2018
Tata Hexa XTA 4x2 6 STR,₹ 16 ,,"51,000 km",Diesel + 1,Ambattur,2018
Hyundai Elite i20 Asta 1.2 (O) CVT [2019-2020],₹ 8.3 ,,"22,024 km",Petrol,Thane,2019
Skoda Octavia 2.0 TDI L&K,₹ 20.95 ,,"35,793 km",Diesel,Hyderabad,2017
Hyundai Tucson GLS 4WD AT Diesel,₹ 19.25 ,,"75,400 km",Diesel,Pune,2017
Maruti Suzuki Swift Dzire LDI,₹ 4.75 ,,"84,996 km",Diesel,Hyderabad,2016
Maruti Suzuki Swift VXi,₹ 4.6 ,,"74,767 km",Petrol,Mumbai,2015
Honda Amaze 1.2 EX i-VTEC,₹ 3.42 ,,"63,956 km",Petrol,Gurgaon,2013
Maruti Suzuki Wagon R 1.0 LXI CNG,₹ 4.5 ,,"48,000 km",CNG,Thane,2017
Renault Duster 85 PS RxL Diesel,₹ 6.85 ,,"48,330 km",Diesel,Bangalore,2014
Maruti Suzuki Alto 800 Vxi,₹ 2.1 ,,"93,150 km",Petrol,Kolkata,2014
BMW X3 xDrive 30d M Sport [2015-2017],₹ 41 ,,"69,499 km",Diesel,Hyderabad,2016
Mahindra TUV300 T8 AMT mHAWK100,₹ 5.45 ,,"75,000 km",Diesel,Noida,2016
Kia Carnival Prestige 7 STR,₹ 34.99 ,,"13,748 km",Diesel,Bangalore,2021
Maruti Suzuki Ciaz Alpha Hybrid 1.5 AT [2018-2020],₹ 10.75 ,,"30,672 km",Petrol,Bangalore,2019
Jeep Compass Limited Plus Diesel [2018-2020],₹ 17.99 ,,"64,683 km",Diesel,Bangalore,2019
Maruti Suzuki Baleno Alpha 1.2,₹ 7.11 ,,"69,886 km",Petrol,Mumbai,2019
Audi Q5 2.0 TDI quattro Premium,₹ 21.5 ,,"34,000 km",Diesel,Kolkata,2014
Hyundai Creta SX 1.6 Petrol,₹ 11.49 ,,"62,137 km",Petrol,Bangalore,2019
Maruti Suzuki Baleno Alpha 1.2,₹ 5.24 ,,"56,800 km",Petrol,Delhi,2016
Hyundai Xcent S 1.2,₹ 4.75 ,,"42,382 km",Petrol,Thane,2015
Maruti Suzuki Wagon R 1.0 VXI,₹ 3.9 ,,"66,794 km",Petrol,Kolkata,2018
Honda City V CVT Petrol [2017-2019],₹ 11.5 ,,"19,600 km",Petrol,Ahmedabad,2020
Mercedes-Benz S-Class 350 CDI L,₹ 19 ,,"85,489 km",Diesel,Hyderabad,2011
Renault Triber RXZ EASY-R AMT,₹ 7.5 ,,"19,784 km",Petrol,Mumbai,2020
Honda City ZX CVT Petrol,₹ 12.85 ,,"19,238 km",Petrol,Mumbai,2020
Maruti Suzuki Swift VXi,₹ 4.2 ,,"78,518 km",Petrol,Hyderabad,2013
Hyundai Creta E Plus 1.6 Petrol,₹ 8.55 ,,"54,104 km",Petrol,Mumbai,2017
Renault Duster 85 PS RXS 4X2 MT Diesel,₹ 8.99 ,,"55,300 km",Diesel,Bangalore,2018
Renault Kwid 1.0 RXT Opt [2016-2019],₹ 3.48 ,,"40,397 km",Petrol,Chennai,2018
Mahindra XUV500 W8,₹ 8.11 ,,"87,527 km",Diesel,Mumbai,2015
Toyota Glanza V,₹ 6.75 ,,"63,000 km",Petrol,Ahmedabad,2019
Maruti Suzuki Swift VDi ABS [2014-2017],₹ 5.67 ,,"83,647 km",Diesel,Pune,2016
Isuzu MU-X 4x2,₹ 21 ,,"75,592 km",Diesel,Hyderabad,2018
Renault Duster 85 PS RxL Diesel (Opt),₹ 4.75 ,,"57,660 km",Diesel,Mumbai,2012
Honda Amaze 1.2 VX MT Petrol [2018-2020],₹ 6.85 ,,"42,277 km",Petrol,Noida,2018
Maruti Suzuki S-Presso VXi Plus,₹ 5.25 ,,"2,600 km",Petrol,Ahmedabad,2022
Volvo XC90 D5 AWD,₹ 22.57 ,,"51,000 km",Diesel,Ahmedabad,2014
Hyundai Grand i10 Asta 1.2 Kappa VTVT,₹ 5.75 ,,"19,630 km",Petrol,Mumbai,2017
Honda City VX,₹ 7.45 ,,"42,218 km",Petrol,Mumbai,2016
Toyota Glanza G,₹ 7.08 ,,"69,553 km",Petrol,Chennai,2019
Maruti Suzuki Alto K10 VXi AMT [2014-2018],₹ 3.38 ,,"48,448 km",Petrol,Delhi,2017
Tata Tiago Revotron XT [2016-2019],₹ 4.84 ,,"60,167 km",Petrol,Delhi,2019
Honda City 1.5 V MT,₹ 3.95 ,,"61,000 km",Petrol,Noida,2012
Hyundai Grand i10 Sports Edition 1.2L Kappa VTVT,₹ 4.34 ,,"26,282 km",Petrol,Pune,2015
Mercedes-Benz E-Class E 220 d Avantgarde,₹ 61.75 ,,"19,070 km",Diesel,Bangalore,2019
Audi A4 3.0 TDI quattro Technology Pack,₹ 32 ,,"67,262 km",Diesel,Chennai,2018
Maruti Suzuki Ciaz Alpha Hybrid 1.5 [2018-2020],₹ 8.72 ,,"5,814 km",Petrol,Kolkata,2020
Skoda Rapid Ultima Elegance 1.6 TDI CR MT,₹ 6.5 ,,"76,810 km",Diesel,Kolkata,2017
Honda Amaze 1.5 VX i-DTEC,₹ 4.95 ,,"63,587 km",Diesel,Mumbai,2015
Kia Seltos GTX Plus AT 1.4 [2019-2020],₹ 15.25 ,,"28,000 km",Petrol,Kolkata,2019
Honda Amaze 1.5 S i-DTEC,₹ 4.99 ,,"42,637 km",Diesel,Bangalore,2014
Maruti Suzuki Wagon R 1.0 VXI,₹ 4.32 ,,"52,775 km",Petrol,Pune,2017
Maruti Suzuki Ciaz Zeta Hybrid 1.5 AT [2018-2020],₹ 8.5 ,,"21,809 km",Petrol,Thane,2019
Volkswagen Vento Highline Plus 1.2 (P) AT 16 Alloy,₹ 7.25 ,,"45,689 km",Petrol,Mumbai,2016
Maruti Suzuki Celerio ZXi [2017-2019],₹ 4.33 ,,"34,251 km",Petrol,Pune,2017
Maruti Suzuki Ertiga VXI CNG,₹ 7.2 ,,"55,000 km",CNG,Thane,2016
Skoda Rapid Ambition 1.6 TDI CR MT,₹ 9.25 ,,"95,004 km",Diesel,Hyderabad,2018
Tata Harrier XZ [2019-2020],₹ 16.95 ,,"20,856 km",Diesel,Bangalore,2019
Maruti Suzuki Dzire ZXi Plus AMT,₹ 8.75 ,,"11,800 km",Petrol,Chennai,2020
Maruti Suzuki Baleno Delta 1.2,₹ 5.1 ,,"32,897 km",Petrol,Pune,2016
Mahindra TUV300 T8,₹ 5.65 ,,"47,107 km",Diesel,Delhi,2016
Maruti Suzuki Alto K10 VXi,₹ 2.25 ,,"76,614 km",Petrol,Pune,2011
Audi Q3 35 TDI quattro Premium Plus,₹ 19.99 ,,"32,345 km",Diesel,Kolkata,2018
Jaguar XE Portfolio Diesel,₹ 37.75 ,,"35,491 km",Diesel,Bangalore,2018
Toyota Innova Crysta ZX 2.4 AT 7 STR,₹ 32.5 ,,"22,562 km",Diesel,Hyderabad,2021
Maruti Suzuki Ciaz Delta 1.3 Diesel,₹ 7.45 ,,"49,908 km",Diesel,Mumbai,2018
MINI Cooper JCW Hatchback,₹ 44 ,,"2,482 km",Petrol,Mumbai,2021
Jeep Compass Limited Plus 2.0 Diesel 4x4 AT,₹ 23 ,,"9,000 km",Diesel,Ambattur,2020
Volkswagen Polo Comfortline 1.2L (P),₹ 4.65 ,,"27,700 km",Petrol,Thane,2015
Maruti Suzuki Wagon R LXi Minor,₹ 1.8 ,,"49,000 km",Petrol,Thane,2009
Maruti Suzuki Ignis Delta 1.2 MT,₹ 4.53 ,,"12,104 km",Petrol,Kolkata,2018
Hyundai Xcent SX 1.2,₹ 5.34 ,,"28,646 km",Petrol,Pune,2016
Maruti Suzuki Alto 800 Lxi,₹ 2.05 ,,"35,965 km",Petrol,Kolkata,2014
Mercedes-Benz E-Class E350 CDI BlueEfficiency,₹ 15.5 ,,"64,000 km",Diesel,Hyderabad,2010
Maruti Suzuki Baleno Zeta 1.2,₹ 7.35 ,,"5,288 km",Petrol,Thane,2020
Volvo S60 Kinetic D4,₹ 17.9 ,,"90,604 km",Diesel,Hyderabad,2017
Maruti Suzuki Estilo VXi ABS BS-IV,₹ 2.25 ,,"68,000 km",Petrol + 1,Thiruvallur,2011
Hyundai i20 Asta (O) 1.2 MT,₹ 8.5 ,,"32,243 km",Petrol,Hyderabad,2020
Maruti Suzuki Ciaz Delta 1.4 MT,₹ 6.87 ,,"33,823 km",Petrol,Delhi,2017
Maruti Suzuki Swift VXi AMT [2018-2019],₹ 5.38 ,,"25,412 km",Petrol,Kolkata,2018
BMW 3 Series Gran Limousine 320Ld Luxury Line,₹ 57.5 ,,"22,600 km",Diesel,Chennai,2021
Honda City V CVT Petrol [2017-2019],₹ 8.3 ,,"56,468 km",Petrol,Ahmedabad,2017
Ford Figo Duratec Petrol EXI 1.2,₹ 2.4 ,,"73,000 km",Petrol + 1,Poonamallee,2011
Honda City SV,₹ 6.3 ,,"24,751 km",Petrol,Kolkata,2018
Audi TT 45 TFSI,₹ 46 ,,"9,865 km",Petrol,Ahmedabad,2016
Maruti Suzuki Celerio ZXi AMT [2019-2020],₹ 4.75 ,,"29,646 km",Petrol,Thane,2016
BMW X1 sDrive20d Expedition,₹ 21.75 ,,"55,000 km",Diesel,Mumbai,2017
Volvo S90 D4 Inscription,₹ 59 ,,"15,446 km",Diesel,Hyderabad,2020
Maruti Suzuki Celerio VXi AMT ABS,₹ 4.45 ,,"24,595 km",Petrol,Mumbai,2016
Hyundai Creta 1.6 S Plus AT,₹ 9.98 ,,"97,761 km",Diesel,Pune,2016
Maruti Suzuki Celerio VXi,₹ 5.65 ,,"47,000 km",Petrol,Hyderabad,2020
Hyundai Grand i10 Sportz 1.2 Kappa VTVT [2016-2017],₹ 4.85 ,,"66,471 km",Petrol,Delhi,2017
Datsun redi-GO S [2016-2019],₹ 3.25 ,,"37,000 km",Petrol,Ahmedabad,2019
